0.0266316,2.84168,0;0.0359501,9.46587,0;0.827935,0.271088,0;3.03487,2.20867,0;3.12686,8.30532,0;3.4986,6.00858,0;4.81388,2.15243,0;7.14133,9.55993,0;8.17367,0.102566,0;|
0.0371155,2.82858,0;0.046434,9.45277,0;0.838419,0.257989,0;3.04536,2.19557,0;3.13735,8.29222,0;3.50908,5.99548,0;4.82436,2.13933,0;7.15181,9.54683,0;8.18415,0.0894669,0;|
0.0475994,2.81548,0;0.0569178,9.43967,0;0.848903,0.244889,0;3.05584,2.18247,0;3.14783,8.27912,0;3.51956,5.98238,0;4.83485,2.12624,0;7.1623,9.53373,0;8.19464,0.0763675,0;|
0.0580832,2.80238,0;0.0674017,9.42657,0;0.859386,0.23179,0;3.06633,2.16937,0;3.15832,8.26602,0;3.53005,5.96928,0;4.84533,2.11314,0;7.17278,9.52063,0;8.20512,0.0632682,0;|
0.0685671,2.78928,0;0.0778856,9.41347,0;0.86987,0.218691,0;3.07681,2.15627,0;3.1688,8.25292,0;3.54053,5.95618,0;4.85582,2.10004,0;7.18326,9.50753,0;8.2156,0.0501689,0;|
0.079051,2.77618,0;0.0883695,9.40037,0;0.880354,0.205591,0;3.08729,2.14317,0;3.17928,8.23983,0;3.55102,5.94308,0;4.8663,2.08694,0;7.19375,9.49444,0;8.22609,0.0370695,0;|
0.0895349,2.76308,0;0.0988533,9.38727,0;0.890838,0.192492,0;3.09778,2.13007,0;3.18977,8.22673,0;3.5615,5.92999,0;4.87678,2.07384,0;7.20423,9.48134,0;8.23657,0.0239702,0;|
0.100019,2.74998,0;0.109337,9.37417,0;0.901322,0.179393,0;3.10826,2.11697,0;3.20025,8.21363,0;3.57198,5.91689,0;4.88727,2.06074,0;7.21471,9.46824,0;8.24706,0.0108709,0;|
0.110503,2.73688,0;0.119821,9.36107,0;0.911806,0.166293,0;3.11875,2.10387,0;3.21074,8.20053,0;3.58247,5.90379,0;4.89775,2.04764,0;7.2252,9.45514,0;8.25754,9.99777,0;|
0.120986,2.72378,0;0.130305,9.34797,0;0.92229,0.153194,0;3.12923,2.09077,0;3.22122,8.18743,0;3.59295,5.89069,0;4.90823,2.03454,0;7.23568,9.44204,0;8.26802,9.98467,0;|
0.13147,2.71068,0;0.140789,9.33487,0;0.932773,0.140095,0;3.13971,2.07767,0;3.2317,8.17433,0;3.60344,5.87759,0;4.91872,2.02144,0;7.24617,9.42894,0;8.27851,9.97157,0;|
