10,47,18|27,33,7|20,0,0|24,0,0|22,0,0|27,0,0|16,63,4|21,59,2|
9,45,17|23,37,9|20,0,0|24,0,0|22,0,0|25,0,0|16,64,4|21,62,2|
9,48,18|25,36,9|20,0,0|23,0,0|22,0,0|23,0,0|16,64,4|19,61,3|
9,50,18|24,38,8|20,0,0|23,0,0|22,0,0|23,0,0|14,63,4|21,59,4|
9,48,18|24,40,10|21,0,0|22,0,0|21,0,0|24,0,0|14,64,4|20,57,4|
8,47,19|22,42,11|21,0,0|22,0,0|21,0,0|24,0,0|13,63,4|21,58,4|
9,49,18|22,45,12|20,0,0|23,0,0|22,0,0|23,0,0|13,59,6|20,53,6|
9,50,18|22,43,12|20,0,0|23,0,0|22,0,0|22,0,0|14,60,6|20,50,9|
10,46,20|21,41,11|20,0,0|23,0,0|22,0,0|22,0,0|12,61,8|21,51,11|
9,47,21|22,39,12|20,0,0|22,0,0|22,0,0|22,0,0|12,60,9|21,51,11|
9,46,23|22,38,12|21,0,0|21,0,0|21,0,0|22,0,0|13,63,9|20,47,13|
8,45,22|22,40,13|21,0,0|20,0,0|19,0,0|23,0,0|12,65,10|21,45,14|
7,47,24|22,40,12|20,0,0|21,0,0|18,0,0|24,0,0|12,62,11|21,45,14|
5,46,26|21,38,13|20,0,0|21,0,0|18,0,0|24,0,0|12,66,11|20,46,13|
5,49,26|21,38,15|20,0,0|21,0,0|17,0,0|25,0,0|12,62,12|18,46,13|
5,44,29|20,38,15|20,0,0|21,0,0|18,0,0|24,0,0|11,67,12|15,48,13|
6,42,30|17,42,13|20,0,0|21,0,0|18,0,0|23,0,0|10,64,13|18,48,15|
5,41,26|18,39,15|19,0,0|20,0,0|16,0,0|25,0,0|10,63,18|18,52,15|
5,40,26|15,38,15|18,0,0|20,0,0|18,0,0|21,0,0|11,64,18|20,56,15|
5,37,27|16,39,15|18,0,0|20,0,0|19,0,0|19,0,0|11,59,19|20,58,18|
5,38,31|16,41,15|18,0,0|20,0,0|19,0,0|19,0,0|10,58,17|18,53,22|
4,37,32|16,41,16|18,0,0|20,0,0|19,0,0|18,0,0|10,58,19|18,53,21|
5,34,33|15,45,18|18,0,0|20,0,0|19,0,0|18,0,0|10,58,18|17,51,21|
4,41,35|16,44,16|16,0,0|21,0,0|17,0,0|19,0,0|10,55,19|17,48,22|
5,35,34|16,44,17|15,0,0|20,0,0|18,0,0|18,0,0|9,59,23|18,48,21|
5,34,33|16,43,18|16,0,0|19,0,0|18,0,0|18,0,0|8,60,23|18,48,23|
5,31,34|15,41,21|15,1,0|20,0,0|17,0,0|19,0,0|8,58,26|18,48,23|
5,33,31|15,40,20|15,0,0|20,0,0|17,0,0|19,0,0|8,55,29|18,51,24|
6,33,36|14,43,19|14,0,0|20,0,0|17,0,0|19,0,0|7,54,25|18,46,29|
5,33,33|15,42,21|14,0,0|19,0,0|18,0,0|18,0,0|7,54,30|18,44,29|
6,30,35|16,45,21|14,0,0|18,0,0|18,0,0|17,0,0|8,53,32|17,42,28|
6,29,36|16,40,23|15,0,0|17,0,0|17,0,0|17,0,0|8,54,29|18,44,31|
6,29,39|15,40,21|15,0,0|17,0,0|17,0,0|16,0,0|7,53,28|20,43,34|
6,27,40|14,43,21|15,0,0|17,0,0|17,0,0|16,0,0|7,53,29|20,43,32|
7,31,38|14,41,21|14,0,0|17,0,0|17,0,0|15,0,0|7,51,30|21,42,34|
4,31,43|13,40,22|14,0,0|17,0,0|17,0,0|15,0,0|7,53,27|19,43,35|
4,30,43|11,42,24|15,0,0|16,0,0|17,0,0|15,0,0|7,51,28|19,42,36|
3,29,47|11,43,25|15,0,0|16,0,0|17,0,0|14,0,0|6,50,28|17,45,34|
3,31,48|10,41,24|15,0,0|16,0,0|17,0,0|14,0,0|6,50,28|17,45,35|
4,27,51|10,42,24|15,0,0|16,0,0|15,0,0|15,0,0|6,49,28|16,46,36|
4,28,51|10,40,24|15,0,0|16,0,0|15,0,0|15,0,0|6,50,28|15,45,38|
4,27,50|10,40,25|13,0,0|18,0,0|15,0,0|15,0,0|6,48,30|14,46,39|
3,27,50|10,42,24|12,0,0|19,0,0|15,0,0|15,0,0|7,48,32|13,42,41|
3,25,50|9,44,26|11,0,0|19,0,0|15,0,0|15,0,0|8,46,34|13,41,41|
4,27,50|8,43,26|11,0,0|18,0,0|15,0,0|15,0,0|9,42,35|11,44,42|
4,26,49|8,41,27|11,0,0|18,0,0|15,0,0|15,0,0|7,43,36|11,44,45|
3,25,51|8,42,27|10,0,0|19,0,0|15,0,0|15,0,0|6,48,35|8,42,46|
3,24,51|7,45,26|11,0,0|18,0,0|16,0,0|14,0,0|7,48,36|6,40,48|
3,25,51|7,41,30|11,0,0|18,0,0|15,0,0|15,0,0|7,45,39|6,38,49|
3,24,50|6,40,31|10,0,0|19,0,0|15,0,0|15,0,0|7,44,39|6,38,53|
3,23,50|6,41,31|12,0,0|17,0,0|16,0,0|14,0,0|6,45,39|6,37,54|
3,22,50|4,42,36|11,0,0|18,0,0|16,0,1|14,0,0|5,45,41|7,34,51|
2,23,50|4,40,36|10,0,0|19,0,0|15,0,0|14,0,0|5,42,44|7,35,54|
2,22,50|4,40,36|12,0,0|17,0,0|15,0,0|13,0,0|5,44,48|6,34,52|
1,22,50|3,41,36|11,0,0|18,0,0|15,0,0|13,0,0|6,43,47|5,35,54|
1,19,49|3,39,37|11,0,0|18,0,0|13,0,0|15,0,0|6,44,49|3,38,55|
1,20,50|4,38,40|10,0,0|18,0,0|14,0,0|14,0,0|4,42,52|4,35,54|
1,20,52|4,37,39|14,0,0|14,0,0|15,0,0|13,0,0|5,38,53|2,38,55|
1,19,51|4,37,39|13,0,0|15,0,0|15,0,0|13,0,0|5,38,54|2,35,59|
1,22,54|3,37,40|12,0,0|16,0,0|15,0,0|13,0,0|5,30,58|2,34,58|
0,21,53|3,40,42|12,0,0|14,0,0|14,0,0|13,0,0|5,31,60|2,34,56|
1,21,53|4,40,42|11,0,0|13,0,0|15,0,0|12,0,0|5,28,61|1,35,58|
0,24,55|2,43,42|10,0,0|14,0,0|13,0,0|13,0,0|5,24,62|2,32,59|
0,23,56|1,40,41|11,0,0|13,0,0|14,0,0|12,0,0|5,27,64|2,33,58|
0,21,59|0,43,43|11,0,0|13,0,0|14,0,0|12,0,0|4,28,62|2,30,58|
